,geometry,centerLat,centerLon,stopTime,fileID,flightDirection,pathNumber,processingLevel,url,startTime,sceneName,browse,platform,bytes,md5sum,frameNumber,granuleType,orbit,polarization,processingDate,sensor,groupID,pgeVersion,fileName,beamModeType,date_str,mgrs_tile_id,acq_dt,acq_date
22,"POLYGON ((-82.508102 27.800699, -82.152008 26.168142, -79.640396 26.583879, -79.957733 28.213604, -82.508102 27.800699))",27.1973,-81.0669,2023-08-22T23:29:16.285Z,S1A_IW_SLC__1SDV_20230822T232849_20230822T232916_049995_0603CA_AED5-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230822T232849_20230822T232916_049995_0603CA_AED5.zip,2023-08-22 23:28:49.223000+00:00,S1A_IW_SLC__1SDV_20230822T232849_20230822T232916_049995_0603CA_AED5,,Sentinel-1A,4461446998,ba2f163879fa783bb0b4942b60da256a,84,SENTINEL_1A_FRAME,49995,VV+VH,2023-08-22T23:28:49.223Z,C-SAR,S1A_IWDV_0083_0090_049995_048,003.61,S1A_IW_SLC__1SDV_20230822T232849_20230822T232916_049995_0603CA_AED5.zip,IW,2023-08-22,17RMJ,2023-08-22 23:28:49.223000+00:00,2023-08-22
23,"POLYGON ((-82.181282 26.302958, -81.817863 24.618307, -79.340073 25.036898, -79.66658 26.718458, -82.181282 26.302958))",25.6745,-80.7535,2023-08-22T23:28:51.458Z,S1A_IW_SLC__1SDV_20230822T232823_20230822T232851_049995_0603CA_F4DF-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230822T232823_20230822T232851_049995_0603CA_F4DF.zip,2023-08-22 23:28:23.543000+00:00,S1A_IW_SLC__1SDV_20230822T232823_20230822T232851_049995_0603CA_F4DF,,Sentinel-1A,4415667418,9debe931b0889a550fd53628cafe6759,79,SENTINEL_1A_FRAME,49995,VV+VH,2023-08-22T23:28:23.543Z,C-SAR,S1A_IWDV_0078_0085_049995_048,003.61,S1A_IW_SLC__1SDV_20230822T232823_20230822T232851_049995_0603CA_F4DF.zip,IW,2023-08-22,17RMJ,2023-08-22 23:28:23.543000+00:00,2023-08-22
26,"POLYGON ((-82.505615 27.800138, -82.149521 26.167576, -79.637985 26.583307, -79.955322 28.213036, -82.505615 27.800138))",27.1968,-81.0644,2023-08-10T23:29:15.090Z,S1A_IW_SLC__1SDV_20230810T232848_20230810T232915_049820_05FDCE_E683-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230810T232848_20230810T232915_049820_05FDCE_E683.zip,2023-08-10 23:28:48.029000+00:00,S1A_IW_SLC__1SDV_20230810T232848_20230810T232915_049820_05FDCE_E683,,Sentinel-1A,4472630359,b83c8f8094c890d3258114fae2498c91,84,SENTINEL_1A_FRAME,49820,VV+VH,2023-08-10T23:28:48.029Z,C-SAR,S1A_IWDV_0083_0090_049820_048,003.61,S1A_IW_SLC__1SDV_20230810T232848_20230810T232915_049820_05FDCE_E683.zip,IW,2023-08-10,17RMJ,2023-08-10 23:28:48.029000+00:00,2023-08-10
27,"POLYGON ((-82.178749 26.302143, -81.815277 24.617239, -79.337563 25.035826, -79.664124 26.717638, -82.178749 26.302143))",25.6736,-80.751,2023-08-10T23:28:50.259Z,S1A_IW_SLC__1SDV_20230810T232822_20230810T232850_049820_05FDCE_8C6A-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230810T232822_20230810T232850_049820_05FDCE_8C6A.zip,2023-08-10 23:28:22.341000+00:00,S1A_IW_SLC__1SDV_20230810T232822_20230810T232850_049820_05FDCE_8C6A,,Sentinel-1A,4238133888,ea77a697b118dcb8133883b83d883d13,79,SENTINEL_1A_FRAME,49820,VV+VH,2023-08-10T23:28:22.341Z,C-SAR,S1A_IWDV_0078_0085_049820_048,003.61,S1A_IW_SLC__1SDV_20230810T232822_20230810T232850_049820_05FDCE_8C6A.zip,IW,2023-08-10,17RMJ,2023-08-10 23:28:22.341000+00:00,2023-08-10
30,"POLYGON ((-82.508507 27.800026, -82.152504 26.167711, -79.6409 26.583418, -79.958153 28.212898, -82.508507 27.800026))",27.1968,-81.0673,2023-07-29T23:29:15.109Z,S1A_IW_SLC__1SDV_20230729T232848_20230729T232915_049645_05F841_47A4-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230729T232848_20230729T232915_049645_05F841_47A4.zip,2023-07-29 23:28:48.052000+00:00,S1A_IW_SLC__1SDV_20230729T232848_20230729T232915_049645_05F841_47A4,,Sentinel-1A,4433386499,0cb739a659f771c6ee0304dfc4dba485,84,SENTINEL_1A_FRAME,49645,VV+VH,2023-07-29T23:28:48.052Z,C-SAR,S1A_IWDV_0083_0090_049645_048,003.61,S1A_IW_SLC__1SDV_20230729T232848_20230729T232915_049645_05F841_47A4.zip,IW,2023-07-29,17RMJ,2023-07-29 23:28:48.052000+00:00,2023-07-29
31,"POLYGON ((-82.181839 26.302774, -81.81842 24.617994, -79.34063 25.036554, -79.66713 26.718243, -82.181839 26.302774))",25.6743,-80.7541,2023-07-29T23:28:50.290Z,S1A_IW_SLC__1SDV_20230729T232822_20230729T232850_049645_05F841_2A51-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230729T232822_20230729T232850_049645_05F841_2A51.zip,2023-07-29 23:28:22.374000+00:00,S1A_IW_SLC__1SDV_20230729T232822_20230729T232850_049645_05F841_2A51,,Sentinel-1A,4227111225,23238f748d572c92d870978a39e2518d,79,SENTINEL_1A_FRAME,49645,VV+VH,2023-07-29T23:28:22.374Z,C-SAR,S1A_IWDV_0078_0085_049645_048,003.61,S1A_IW_SLC__1SDV_20230729T232822_20230729T232850_049645_05F841_2A51.zip,IW,2023-07-29,17RMJ,2023-07-29 23:28:22.374000+00:00,2023-07-29
43,"POLYGON ((-82.507973 27.799433, -82.151901 26.166872, -79.640289 26.582598, -79.957603 28.212324, -82.507973 27.799433))",27.196,-81.0667,2023-06-11T23:29:12.197Z,S1A_IW_SLC__1SDV_20230611T232845_20230611T232912_048945_05E2BB_5BD5-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230611T232845_20230611T232912_048945_05E2BB_5BD5.zip,2023-06-11 23:28:45.135000+00:00,S1A_IW_SLC__1SDV_20230611T232845_20230611T232912_048945_05E2BB_5BD5,,Sentinel-1A,4430086071,8ccc19327fed242b8b0a336e8de44360,84,SENTINEL_1A_FRAME,48945,VV+VH,2023-06-11T23:28:45.135Z,C-SAR,S1A_IWDV_0083_0090_048945_048,003.61,S1A_IW_SLC__1SDV_20230611T232845_20230611T232912_048945_05E2BB_5BD5.zip,IW,2023-06-11,17RMJ,2023-06-11 23:28:45.135000+00:00,2023-06-11
44,"POLYGON ((-82.181229 26.301935, -81.817696 24.616661, -79.339912 25.035242, -79.666519 26.717424, -82.181229 26.301935))",25.6732,-80.7534,2023-06-11T23:28:47.374Z,S1A_IW_SLC__1SDV_20230611T232819_20230611T232847_048945_05E2BB_B4F2-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230611T232819_20230611T232847_048945_05E2BB_B4F2.zip,2023-06-11 23:28:19.449000+00:00,S1A_IW_SLC__1SDV_20230611T232819_20230611T232847_048945_05E2BB_B4F2,,Sentinel-1A,4212274363,1dc100d0363c434fcec535f061482175,79,SENTINEL_1A_FRAME,48945,VV+VH,2023-06-11T23:28:19.449Z,C-SAR,S1A_IWDV_0078_0085_048945_048,003.61,S1A_IW_SLC__1SDV_20230611T232819_20230611T232847_048945_05E2BB_B4F2.zip,IW,2023-06-11,17RMJ,2023-06-11 23:28:19.449000+00:00,2023-06-11
53,"POLYGON ((-82.50808 27.799715, -82.151909 26.166521, -79.640427 26.582178, -79.957832 28.212536, -82.50808 27.799715))",27.196,-81.0669,2023-05-06T23:29:10.474Z,S1A_IW_SLC__1SDV_20230506T232843_20230506T232910_048420_05D2FD_F624-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230506T232843_20230506T232910_048420_05D2FD_F624.zip,2023-05-06 23:28:43.402000+00:00,S1A_IW_SLC__1SDV_20230506T232843_20230506T232910_048420_05D2FD_F624,,Sentinel-1A,4494108552,8c07bdfe3f68741c9992c7351a68a194,84,SENTINEL_1A_FRAME,48420,VV+VH,2023-05-06T23:28:43.402Z,C-SAR,S1A_IWDV_0083_0090_048420_048,003.61,S1A_IW_SLC__1SDV_20230506T232843_20230506T232910_048420_05D2FD_F624.zip,IW,2023-05-06,17RMJ,2023-05-06 23:28:43.402000+00:00,2023-05-06
54,"POLYGON ((-82.18129 26.301832, -81.817795 24.616545, -79.340164 25.035053, -79.66674 26.717247, -82.18129 26.301832))",25.673,-80.7536,2023-05-06T23:28:45.645Z,S1A_IW_SLC__1SDV_20230506T232817_20230506T232845_048420_05D2FD_415C-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230506T232817_20230506T232845_048420_05D2FD_415C.zip,2023-05-06 23:28:17.720000+00:00,S1A_IW_SLC__1SDV_20230506T232817_20230506T232845_048420_05D2FD_415C,,Sentinel-1A,4350640680,7286636de8716df04cf007c2c2b5b6f5,79,SENTINEL_1A_FRAME,48420,VV+VH,2023-05-06T23:28:17.720Z,C-SAR,S1A_IWDV_0078_0085_048420_048,003.61,S1A_IW_SLC__1SDV_20230506T232817_20230506T232845_048420_05D2FD_415C.zip,IW,2023-05-06,17RMJ,2023-05-06 23:28:17.720000+00:00,2023-05-06
