,dswx_s1_id,rtc_id,vh_url,vv_url
10,OPERA_L3_DSWx-S1_T42QYM_20230429T011016Z_20240502T151502Z_S1A_30_v0.1,OPERA_L2_RTC-S1_T107-228614-IW2_20230429T011025Z_20240419T004249Z_S1A_30_v1.0,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/RTC_S1/OPERA_L2_RTC-S1_T107-228614-IW2_20230429T011025Z_20240419T004249Z_S1A_30_v1.0/OPERA_L2_RTC-S1_T107-228614-IW2_20230429T011025Z_20240419T004249Z_S1A_30_v1.0_VH.tif,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/RTC_S1/OPERA_L2_RTC-S1_T107-228614-IW2_20230429T011025Z_20240419T004249Z_S1A_30_v1.0/OPERA_L2_RTC-S1_T107-228614-IW2_20230429T011025Z_20240419T004249Z_S1A_30_v1.0_VV.tif
11,OPERA_L3_DSWx-S1_T42QYM_20230429T011016Z_20240502T151502Z_S1A_30_v0.1,OPERA_L2_RTC-S1_T107-228613-IW1_20230429T011022Z_20240419T004249Z_S1A_30_v1.0,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/RTC_S1/OPERA_L2_RTC-S1_T107-228613-IW1_20230429T011022Z_20240419T004249Z_S1A_30_v1.0/OPERA_L2_RTC-S1_T107-228613-IW1_20230429T011022Z_20240419T004249Z_S1A_30_v1.0_VH.tif,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/RTC_S1/OPERA_L2_RTC-S1_T107-228613-IW1_20230429T011022Z_20240419T004249Z_S1A_30_v1.0/OPERA_L2_RTC-S1_T107-228613-IW1_20230429T011022Z_20240419T004249Z_S1A_30_v1.0_VV.tif
12,OPERA_L3_DSWx-S1_T42QYM_20230429T011016Z_20240502T151502Z_S1A_30_v0.1,OPERA_L2_RTC-S1_T107-228608-IW2_20230429T011009Z_20240419T004322Z_S1A_30_v1.0,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/RTC_S1/OPERA_L2_RTC-S1_T107-228608-IW2_20230429T011009Z_20240419T004322Z_S1A_30_v1.0/OPERA_L2_RTC-S1_T107-228608-IW2_20230429T011009Z_20240419T004322Z_S1A_30_v1.0_VH.tif,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/RTC_S1/OPERA_L2_RTC-S1_T107-228608-IW2_20230429T011009Z_20240419T004322Z_S1A_30_v1.0/OPERA_L2_RTC-S1_T107-228608-IW2_20230429T011009Z_20240419T004322Z_S1A_30_v1.0_VV.tif
13,OPERA_L3_DSWx-S1_T42QYM_20230429T011016Z_20240502T151502Z_S1A_30_v0.1,OPERA_L2_RTC-S1_T107-228617-IW2_20230429T011034Z_20240419T004249Z_S1A_30_v1.0,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/RTC_S1/OPERA_L2_RTC-S1_T107-228617-IW2_20230429T011034Z_20240419T004249Z_S1A_30_v1.0/OPERA_L2_RTC-S1_T107-228617-IW2_20230429T011034Z_20240419T004249Z_S1A_30_v1.0_VH.tif,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/RTC_S1/OPERA_L2_RTC-S1_T107-228617-IW2_20230429T011034Z_20240419T004249Z_S1A_30_v1.0/OPERA_L2_RTC-S1_T107-228617-IW2_20230429T011034Z_20240419T004249Z_S1A_30_v1.0_VV.tif
14,OPERA_L3_DSWx-S1_T42QYM_20230429T011016Z_20240502T151502Z_S1A_30_v0.1,OPERA_L2_RTC-S1_T107-228616-IW2_20230429T011031Z_20240419T004249Z_S1A_30_v1.0,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/RTC_S1/OPERA_L2_RTC-S1_T107-228616-IW2_20230429T011031Z_20240419T004249Z_S1A_30_v1.0/OPERA_L2_RTC-S1_T107-228616-IW2_20230429T011031Z_20240419T004249Z_S1A_30_v1.0_VH.tif,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/RTC_S1/OPERA_L2_RTC-S1_T107-228616-IW2_20230429T011031Z_20240419T004249Z_S1A_30_v1.0/OPERA_L2_RTC-S1_T107-228616-IW2_20230429T011031Z_20240419T004249Z_S1A_30_v1.0_VV.tif
15,OPERA_L3_DSWx-S1_T42QYM_20230429T011016Z_20240502T151502Z_S1A_30_v0.1,OPERA_L2_RTC-S1_T107-228615-IW1_20230429T011027Z_20240419T004249Z_S1A_30_v1.0,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/RTC_S1/OPERA_L2_RTC-S1_T107-228615-IW1_20230429T011027Z_20240419T004249Z_S1A_30_v1.0/OPERA_L2_RTC-S1_T107-228615-IW1_20230429T011027Z_20240419T004249Z_S1A_30_v1.0_VH.tif,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/RTC_S1/OPERA_L2_RTC-S1_T107-228615-IW1_20230429T011027Z_20240419T004249Z_S1A_30_v1.0/OPERA_L2_RTC-S1_T107-228615-IW1_20230429T011027Z_20240419T004249Z_S1A_30_v1.0_VV.tif
16,OPERA_L3_DSWx-S1_T42QYM_20230429T011016Z_20240502T151502Z_S1A_30_v0.1,OPERA_L2_RTC-S1_T107-228618-IW3_20230429T011037Z_20240419T004249Z_S1A_30_v1.0,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/RTC_S1/OPERA_L2_RTC-S1_T107-228618-IW3_20230429T011037Z_20240419T004249Z_S1A_30_v1.0/OPERA_L2_RTC-S1_T107-228618-IW3_20230429T011037Z_20240419T004249Z_S1A_30_v1.0_VH.tif,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/RTC_S1/OPERA_L2_RTC-S1_T107-228618-IW3_20230429T011037Z_20240419T004249Z_S1A_30_v1.0/OPERA_L2_RTC-S1_T107-228618-IW3_20230429T011037Z_20240419T004249Z_S1A_30_v1.0_VV.tif
17,OPERA_L3_DSWx-S1_T42QYM_20230429T011016Z_20240502T151502Z_S1A_30_v0.1,OPERA_L2_RTC-S1_T107-228614-IW1_20230429T011024Z_20240419T004249Z_S1A_30_v1.0,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/RTC_S1/OPERA_L2_RTC-S1_T107-228614-IW1_20230429T011024Z_20240419T004249Z_S1A_30_v1.0/OPERA_L2_RTC-S1_T107-228614-IW1_20230429T011024Z_20240419T004249Z_S1A_30_v1.0_VH.tif,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/RTC_S1/OPERA_L2_RTC-S1_T107-228614-IW1_20230429T011024Z_20240419T004249Z_S1A_30_v1.0/OPERA_L2_RTC-S1_T107-228614-IW1_20230429T011024Z_20240419T004249Z_S1A_30_v1.0_VV.tif
18,OPERA_L3_DSWx-S1_T42QYM_20230429T011016Z_20240502T151502Z_S1A_30_v0.1,OPERA_L2_RTC-S1_T107-228618-IW1_20230429T011035Z_20240419T004249Z_S1A_30_v1.0,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/RTC_S1/OPERA_L2_RTC-S1_T107-228618-IW1_20230429T011035Z_20240419T004249Z_S1A_30_v1.0/OPERA_L2_RTC-S1_T107-228618-IW1_20230429T011035Z_20240419T004249Z_S1A_30_v1.0_VH.tif,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/RTC_S1/OPERA_L2_RTC-S1_T107-228618-IW1_20230429T011035Z_20240419T004249Z_S1A_30_v1.0/OPERA_L2_RTC-S1_T107-228618-IW1_20230429T011035Z_20240419T004249Z_S1A_30_v1.0_VV.tif
19,OPERA_L3_DSWx-S1_T42QYM_20230429T011016Z_20240502T151502Z_S1A_30_v0.1,OPERA_L2_RTC-S1_T107-228615-IW3_20230429T011029Z_20240419T004249Z_S1A_30_v1.0,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/RTC_S1/OPERA_L2_RTC-S1_T107-228615-IW3_20230429T011029Z_20240419T004249Z_S1A_30_v1.0/OPERA_L2_RTC-S1_T107-228615-IW3_20230429T011029Z_20240419T004249Z_S1A_30_v1.0_VH.tif,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/RTC_S1/OPERA_L2_RTC-S1_T107-228615-IW3_20230429T011029Z_20240419T004249Z_S1A_30_v1.0/OPERA_L2_RTC-S1_T107-228615-IW3_20230429T011029Z_20240419T004249Z_S1A_30_v1.0_VV.tif
